Post Text,LLM Response,Parsed Code,Parsed Microlabel,Parsed Macrolabel,date,About Israel
"‼️Die NACHRICHTEN AUF1 sind da‼️
▶️ https://auf1.tv/nachrichten-auf1/nachrichten-auf1-vom-20-oktober-2023

🔷 Umvolkung: Muslimischer Schotten-Premier will Europa mit einer Million Palästinensern fluten

🔷 Polit-Skandalnudel Faeser: Wieso ist sie immer noch im Amt?

🔷 Scheitert Pandemie-Vertrag? Lauterbach in Sorge – fordert Zensur gegen „Pandemie der Fehlinformation“

➡️ Wir sind unabhängig und kritisch, weil Sie uns unterstützen:
IBAN: AT26 3411 1000 0054 7489
BIC: RZOOAT2L111
(Unterstützerverein AUF)",11,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-20T16:01:11.000Z,0
"Reichelt verstört seine Leser: Die strikte Einhaltung des humanitären Völkerrechts im Gazastreifen beschreibt Reichelt in dem Artikel als „unrealistisch“. Stattdessen gedenkt er, „den Willen einer Zivilbevölkerung zu brechen, so wie es die amerikanischen und britischen Bomber mit Millionen Menschen in deutschen Städten taten“, und bezieht sich damit unter anderem auf die Bombardierung Dresdens. Die Briten und Amerikaner, so schreibt er weiter, hätten ganz bewusst den Tod hunderttausender Zivilisten verursacht, „weil sie der (richtigen) Überzeugung waren, dass es ein befreites Europa nur geben könne, wenn Deutschland in jeder Hinsicht gebrochen wäre“.

 Folgen Sie uns auf Telegram: 
👉🏻 https://t.me/auf1info",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-26T15:12:00.000Z,1
"Ich bin heute Abend in Pankow. Die „161“ („Antifaschistische Aktion“) war schon vor Ort und wünscht sich weitere gewaltsame Injektionen mit einer gefährlichen Substanz. JEDER, der die AfD die ganze Zeit in die Nähe von NSDAP/Nazi/3. Reich geschrieben hat, trägt an dieser Gewalteskalation Mitschuld. #Chrupalla #Weidel",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-06T15:13:21.000Z,0
"❗️Neues aus dem Gerichtssaal❗️ 

Verurteilt: 
Bezugnahme auf Nürnberger Kodex strafbar 

Mittwoch, 11.10.2023

Amtsgericht Bergheim 

Es war nach dem ersten Verhandlungstag vor einigen Wochen vorhersehbar: 

Nach Ansicht des Strafrichters am AG Bergheim stellt eine Bezugnahme auf den Nürnberger Kodex von 1947 eine tatbestandliche Volksverhetzung gem. § 130 Abs. 3 StGB dar. Die Mandantin wurde zu einer Geldstrafe von 40 Tagessätzen verurteilt. 

Dabei war die heutige mündliche Begründung des Gericht so ungewöhnlich, dass dieses Verfahren mit ziemlicher Sicherheit ein (wenn auch kleines) Stück Rechtsgeschichte darstellt. Denn wohl zum ersten Mal ist eine Bezugnahme auf den Nürnberger Kodex von 1947 im Rahmen des Tatbestandes der Volksverhetzung als strafbar angesehen worden.

Was dahinter steckt und vor allem wie durchaus bedenkenswerte  Begründung des Gerichts ausgefallen ist, erläutere ich 

👉 hier im Video👈

Meine Kanäle:
👉 YouTube
👉 Telegram",16,16,Rechts- und Justizsystem,Vertrauen in Institutionen,2023-10-11T18:58:50.000Z,0
"💥 Boom: Joe Bidens Schwester Valerie Biden Owens ist mit John Owens verheiratet. Dessen Bruder Kevin Owens ist ein Anteilseigner von Dominion Voting Systems, jener Firma die Joe Biden durch Wahlbetrug ins Amt gehievt hat.

@LIONMediaNews",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-13T10:29:44.000Z,0
"Je schmutziger der bevorstehende Häuserkampf zwischen der israelischen Armee und den Hamas-Terroristen im Norden des Gaza-Streifens wird, umso mehr steigt die Gefahr, dass sich der regionale Konflikt zu einem Flächenbrand ausweitet. Die muslimischen Nachbarstaaten könnten bei groben Kriegsverbrechen in den Konflikt eingreifen. Aber auch viele der Millionen Muslime in Europa könnten sich radikalisieren und den Konflikt mit Terroranschlägen in die Städte des Westens tragen.

💥 AUF1 begleitet den Krieg in Israel mit kritischen Kommentaren, Hintergrund-Recherchen und Interviews. Alle Beiträge finden Sie hier in unserer neuen Rubrik „Krieg in Israel“: https://auf1.tv/krieg-in-israel-auf1",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-17T05:49:01.000Z,1
"‼️Die NACHRICHTEN AUF1 sind da‼️
▶️ https://auf1.tv/nachrichten-auf1/nachrichten-auf1-vom-24-oktober-2023

🔷 Biontech/Pfizer: Pharma-Geschäftsmodell – Erst krank machen, dann therapieren

🔷 Krieg im Nahen Osten: Propaganda-Lügen von allen Seiten – Medien, Organisationen, Politiker

🔷 Forscher warnt vor Eiszeit: „Wer in Filzstiefeln hungert, wird nicht lange durchhalten“

➡️ Wir sind unabhängig und kritisch, weil Sie uns unterstützen:
IBAN: AT26 3411 1000 0054 7489
BIC: RZOOAT2L111
(Unterstützerverein AUF)",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-24T16:01:06.000Z,0
"🚨💰Biden-Bestechungsgeldspur

Am 1. März 2018 überweist das in Schwierigkeiten geratene Unternehmen Americore 200.000 US-Dollar an James Biden, weil sein Nachname „Biden“ „Türen“ für Investitionen im Nahen Osten öffnen könnte. 

Am selben Tag erhielt Joe Biden einen Scheck über 200.000 US-Dollar von James Biden. 

Hier ist der Beweis ❗️

@Anons17",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-20T19:01:03.000Z,0
"💥Ein sehr fachliches Interview💥

Der Kollege, Strafverteidiger Udo Vetter, zeigt sich überrascht über die Nichtzulassung der Anklage gegen Michael Ballweg in den wesentlichen Punkten:

""Es entspricht nicht der üblichen Dynamik eines Strafprozesses. Michael Ballweg wurde wegen der Vorwürfe Spendenbetrug und Geldwäsche in Haft genommen. Das setzte einen dringenden Tatverdacht voraus. Die Staatsanwälte und Untersuchungsrichter mussten also seinerzeit gewichtige Anhaltspunkte dafür bejahen, dass Ballweg die Taten begangen hat.""

Die Verteidiger von Michael Ballweg waren da weniger überrascht, weil diese die Akten kennen. Es gab vereinzelt Kritik an der offensiven Verteidigung. Es war aber von Beginn an klar, dass hier bei den Strafverfolgern der Blick auf die Person Michael Ballweg die juristische Nüchternheit vernebelt hat. Der Vorwurf gegen Michael Ballweg müsste eine jahrzehntelange Rechtsprechung völlig umkrempeln. Würde zutreffen, was ihm vorgeworfen wird, stünden hunderte von Vereinsvorständen mit einem Bein im Gefängnis. Das Schenkungsrecht wäre außer Kraft gesetzt. Die Regeln der Buchführung müssten vollständig umgeschrieben werden. Das Beweisrecht wäre ausgehebelt und die Unschuldsvermutung wäre zu einer Unschuldsnachweispflicht verkommen. 

Wir hatten mehrfach versucht, die Staatsanwaltschaft davon zu überzeugen, die Aufhebung des Haftbefehls zu beantragen und die Ermittlungen einzustellen. Dafür bestand keine Bereitschaft.

Udo Vetter blickt denn auch kritisch auf deren Verhalten:

""Dass die Staatsanwaltschaft dennoch Anklage erhebt und nun eine Bruchlandung hinlegt, zeigt eine gewisse Verbissenheit. Die Zurückweisung der Anklage ist aus fachlicher Sicht eine heftige Klatsche für die Staatsanwaltschaft. So was kommt nur selten vor. Schlimmer geht’s für Staatsanwälte eigentlich nimmer.""

Warten wir nun die Entscheidung des Obetlandesgerichts ab. Zuvor interessiert die Verteidigung natürlich die Beschwerde der Staatsanwaltschaft. Hierbei ist zu berücksichtigen, dass die Staatsanwaltschaft sich von nun an selbst strafrechtlich auf sehr dünnem Eis bewegt. Die Verfolgung Unschuldiger ist selbst ein Straftatbestand, dem wir ab sofort noch etwas mehr Aufmerksamkeit widmen werden. 

Hier weiterlesen!

Mein Kanal:

t.me/RA_LUDWIG",16,16,Rechts- und Justizsystem,Vertrauen in Institutionen,2023-10-12T14:03:49.000Z,0
"Wisst ihr noch, als Gauland von ""jagen"" gesprochen hat und die Leute gebrüllheult haben, weil Worte zu Taten führen?",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-04T18:58:24.000Z,0
"UN-Vollversammlung stimmt über Forderung nach humanitärem Waffenstillstand in Gaza ab. 

120 dafür, 14 dagegen darunter Österreich, 45 Enthaltungen darunter Deutschland.

t.me/Rosenbusch",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-28T06:30:23.000Z,1
"‼️Die vergessenen weißen Sklaven und die ignorierte Geschichte der Sklaverei weltweit‼️

Die Geschichte der Sklaverei ist komplizierter, als man dir erzählt hat. Wusstest du, dass bis zu 1.250.000 weiße Sklaven nach Nordafrika verschifft wurden? Wusstest du, dass ein Fünftel des Haushalts der US-Regierung von 1797 als Tribut an nordafrikanische muslimische Nationen gezahlt wurde, damit diese die Amerikaner befreien und nicht mehr versklaven? Wusstest du, dass das Osmanische Reich Millionen von Europäern versklavt hat? Wusstest du, dass die Sklaverei im alten Britannien so weit verbreitet war, dass das angelsächsische Wort für „Brite“ (Briton) als Synonym für „Sklave“ verwendet wurde? Wusstest du, dass der Besitz und Verkauf von Sklaven weit verbreitet war? Die Geschichte der Sklaverei ist komplexer, als uns bewusst ist, und wir sollten unser Verhältnis zur Geschichte und ihrem Erbe überdenken, indem wir uns mit den Fakten vertraut machen.

https://legitim.ch/die-vergessenen-weissen-sklaven-und-die-ignorierte-geschichte-der-sklaverei-weltweit/

Findest du diese Information wichtig? Dann abonniere unseren Kanal!
👉 @LegitimNews

#Sklaverei #RassismusLüge #Geschichte",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-15T07:25:30.000Z,0
"🌎Die Waffe gegen Spikeproteine? Wie Nattokinase unser Herz unterstützt!

Die regelmäßige Einnahme von Nattokinase durch den Verzehr von Natto ist möglicherweise ein Grund für die niedrige Rate von Herz-Kreislauf-Erkrankungen und die hohe Lebenserwartung in Okinawa. 

Nattokinase hilft, Blutgerinnsel aufzulösen und vorzubeugen, den Blutdruck zu normalisieren und die Blutgefäße sauber zu halten. 

Darüber hinaus hat es gezeigt, dass es bei der Vorbeugung von Krampfadern, Krämpfen und Schmerzen helfen kann, was zu einer verbesserten Lebensqualität und einer längeren Lebensspanne beitragen kann


👉👉👉Link zum Artikel👈👈👈 


Empfehlung: Dynamik Plus ist eine bemerkenswerte Bereicherung im Feld der ganzheitlichen Medizin. Ihre exklusiven Verbindungen zu Ärzten und Therapeuten, die ausschließlich auf ihre Produkte setzen, unterstreichen die Verlässlichkeit der Plattform.

Ein besonderes Merkmal von Dynamik Plus ist die strikte Standardisierung der relevanten Wirkstoffe und die fortlaufende Qualitätssicherung ihrer Produkte. 

Dynamik Plus verdeutlicht beeindruckend seine Verpflichtung zu hochwertigen Rohstoffen, eine Hingabe, die durch das Vertrauen und die exzellente Qualität, symbolisiert durch das Gütesiegel ‘Made in Germany

📌Hier erhalten Sie die hochwertige Nattokinase.",5,5,Gesundheit und Gesundheitssystem,Allgemeine Bedenken,2023-10-19T04:44:09.000Z,0
"Westen im Krisenmodus – kommt es zur großen Depression?

Die neue Ausgabe von „Wirtschaft AUF1“ befasst sich mit den Risikofaktoren, die die ökonomische Situation in Europa bald dramatisch verschlechtern könnten. Besonders ausführlich befasst sich die Sendung mit dem neuen „kranken Mann Europas“, nämlich Deutschland. „Wirtschaft aktuell“-Herausgeber Dr. Eike Hamer geht sowohl auf die systemischen Probleme, als auch auf die aktuellen Krisen ein: Er sieht seine vor einem Jahr bei AUF1 getätigte Prognose bestätigt, wonach eine große Wirtschaftsdepression drohe…

➡️ Den ganzen Beitrag von „Wirtschaft AUF1“ sehen Sie hier: https://auf1.tv/wirtschaft-auf1/westen-im-krisenmodus-kommt-es-zur-grossen-depression

👉 Folgen Sie uns auf Telegram: https://t.me/auf1tv",6,6,Gesellschaftlicher Wohlstand,Allgemeine Bedenken,2023-10-21T12:43:06.000Z,0
"‼️Die NACHRICHTEN AUF1 sind da‼️
▶️ https://auf1.tv/nachrichten-auf1/nachrichten-auf1-vom-25-oktober-2023

🔷 Nahost-Konflikt: Einseitige westliche Parteinahme blendet die Haltung der übrigen Welt aus

🔷 George Rashmawi (Palästinensische Gemeinde): „Wir sind keine Antisemiten“

🔷 „Germoney“ – Millionen Migranten profitieren vom bundesdeutschen Bürgergeld

➡️ Wir sind unabhängig und kritisch, weil Sie uns unterstützen:
IBAN: AT26 3411 1000 0054 7489
BIC: RZOOAT2L111
(Unterstützerverein AUF)",11,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-25T16:01:07.000Z,0
"Machen Sie sich hinsichtlich der wirtschaftlichen Entwicklung Deutschlands keine Sorgen. Wir sind beim Wirtschaftswachstum nicht auf dem letzten Platz, es kommt nur niemand mehr hinter uns! 😉

Ihr Kinderbuchautor

Kostenlos abonnieren: t.me/kenjebsen",6,6,Gesellschaftlicher Wohlstand,Allgemeine Bedenken,2023-10-04T10:30:57.000Z,0
"Während Hunderte bestialisch abgeschlachtet, geschändet und massakriert werden, interessiert sich die islamische Sprechpuppe und Quotenmigrantin #Chebli für eine Ohrfeige, der ein Kopfstoß und ein Schlag eines palästinensischen Schülers vorangegangen war.
#Hamas #Israel #Gaza",11,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-10T15:13:15.000Z,invalid
"🔥LETZTE CHANCE: Das Highlight-Event des Jahres 2023 ist endlich da!

🚀 Heute Abend startet der GROSSE WAHRHEITSKONGRESS 3.0

https://www.wahrheitskongress.de/los/

👉🏻 Bist du auch besorgt über die vielen dunklen Geheimnisse, die sich in unserer Welt abzeichnen? Die Zeit drängt, die Wahrheiten und Fakten zu entdecken und zu handeln!

Der Wahrheitskongress 3.0 enthüllt ab 21. Oktober 2023 die verborgene Agenda hinter den drängendsten Fragen unserer Zeit.

Fachexperten teilen entscheidende Einsichten und Praxis-Werkzeuge mit, um inmitten der massiven Desinformation Deine eigene Klarheit zu finden.

Nur wer die Wahrheit kennt, kann die Ängste besiegen und die richtigen Entscheidungen treffen.

Bist du bereit? 🙏

[▶️ HIER KOSTENLOS ANMELDEN UND DIE WAHRHEIT HERAUSFINDEN](https://www.wahrheitskongress.de/los/)

🛑 ACHTUNG: Melde dich an, solange die Seite noch online ist!

✅ Kostenlos
✅ Schonungslos
✅ Zensurfrei
✅ Lösungsorientiert
✅ Tabulos

▶️ [Wahrheitskongress 3.0 – Jetzt kostenfrei dabei sein!](https://www.wahrheitskongress.de/los/)

(Bezahlte Anzeige)",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-21T15:01:22.000Z,0
"🇩🇪 Fakt zum Wochenende: 

Wusstet ihr, dass es weltweit mehr als 150 Millionen Deutsche gibt? Durch die Flucht- und Auswanderungsbewegungen der Vergangenheit haben sich in zahlreichen Ländern größere deutsche Gemeinschaften angesammelt. So leben zB in Brasilien mehr als 5 Millionen Deutsche, die großen Wert auf die Beibehaltung ihrer Werte und Traditionen legen.

@LIONMediaNews",11,11,Migrationspolitik,Sicht auf Deutschland/USA,2023-10-20T20:02:48.000Z,0
https://www.bild.de/politik/2023/politik/auf-flughafen-in-tel-aviv-explosion-kurz-vor-kanzler-abflug-flugzeug-geraeumt-85781442.bild.html,23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-17T20:53:51.000Z,1
"‼️ 👉 AfD-Chef in Klinik: Staatsanwaltschaft ermittelt im Fall Chrupalla

""Am Mittwoch hatte AfD-Chef Tino Chrupalla (48) eine Wahlkampfveranstaltung abgebrochen – jetzt ermittelt die Staatsanwaltschaft Ingolstadt wegen des Verdachts auf Körperverletzung.

Das Verfahren laufe gegen Unbekannt, einen konkreten Verdächtigen gebe es nicht, sagte eine Sprecherin der Staatsanwaltschaft Ingolstadt.

Bereits bei einem Anfangsverdacht werde ein solches Ermittlungsverfahren eingeleitet, sagte die Sprecherin. Details zu den bisherigen Ermittlungen nannte sie nicht. 

👉 Die Staatsanwaltschaft wollte im Laufe des Donnerstags eine Pressemitteilung veröffentlichen""

https://www.bild.de/politik/inland/politik-inland/afd-chef-chrupalla-in-klinik-staatsanwaltschaft-ermittelt-85639990.bild.html",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-05T11:04:04.000Z,0
"„Oben ohne“ im Schwimmbad ist für Gericht „Sch­lech­ter­be­hand­lung“ von Frauen…
...und Journalisten erkennen keine ""geschlechtlichen Unterschiede“.
Was kommt als nächstes? Müssen Männer BHs tragen, damit sich keine Frau diskriminiert fühlt? Und ist es Männern zuzumuten, dass sie keine Kinder bekommen und nicht stillen können? Fragen über Fragen. Hier mein neuer Text: https://reitschuster.de/post/oben-ohne-im-schwimmbad-ist-fuer-gericht-schlechterbehandlung-von-frauen/",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-01T22:36:01.000Z,invalid
"Wie modelliert man wissenschaftlich 3.000 Hitzetote pro Jahr?
Anleitung für Medien und den Gesundheitsminister.
Man nehme eine Modell-Rechnung, errechne eine geschätzte Zahl und ignoriere fehlenden Abgleich mit der Realität. Für Lauterbach, der Hitzetote unter 4.000 halten wollte, ist es ein Erfolgserlebnis. Für Medien – ein neuer Panik-Booster. Alle sind glücklich. Von Thomas Rießinger. https://reitschuster.de/post/wie-modelliert-man-3000-hitzetote-pro-jahr/",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-03T08:41:30.000Z,0
"Nein, liebe ARD, wir wollen niemals so sein wie ihr! Und außerdem: Guter Ruf? Im System vielleicht. Für eure tägliche Systempropaganda.

So skurril die Argumentation der ARD-Anwälte auch ist, sie kostet uns viel Geld, denn wir müssen auf diesen Schwachsinn mit unseren Anwälten antworten, da ansonsten AUF1 das Weitersenden gerichtlich untersagt wird. Es ist leider existenzbedrohend für uns! Unterstützen Sie uns daher bitte mit einer Spende:

IBAN: AT26 3411 1000 0054 7489
BIC: RZOOAT2L111
(Unterstützerverein AUF)

www.auf1.tv/unterstuetzen

PS: Weitere Absurditäten aus dem Schriftsatz haben wir in einem Info-Artikel zusammengefasst: https://auf1.info/alternatives-unabhaengiges-fernsehen-auf1-ist-der-ard-ein-dorn-im-auge",14,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-19T09:25:08.000Z,0
"Insider packen aus: So groß ist das Koffer-Chaos am Münchner Flughafen wirklich.
EXKLUSIV: Unglaubliche Innenansichten – Zustände wie in der Dritten Welt. Oder schlimmer?  
Eine ganze Wartungshalle voll mit Abtertausenden Koffern, Spürhunde, die das Gepäck auf Lebensmittel kontrollieren sollen, weil teilweise schon die Maden kriechen, Verbrennung der Koffer – und eine Flughafenführung, die mauert. Insider berichten Unglaubliches. Voilà: https://reitschuster.de/post/insider-packen-aus-so-gross-ist-das-koffer-chaos-am-muenchner-flughafen-wirklich/",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-03T15:40:21.000Z,0
"Insider packen aus: So groß ist das Koffer-Chaos am Münchner Flughafen wirklich.
EXKLUSIV: Unglaubliche Innenansichten – Zustände wie in der Dritten Welt. Oder schlimmer?  
Eine ganze Wartungshalle voll mit Abtertausenden Koffern, Spürhunde, die das Gepäck auf Lebensmittel kontrollieren sollen, weil teilweise schon die Maden kriechen, Verbrennung der Koffer – und eine Flughafenführung, die mauert. Insider berichten Unglaubliches. Voilà: https://reitschuster.de/post/insider-packen-aus-so-gross-ist-das-koffer-chaos-am-muenchner-flughafen-wirklich/",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-03T15:40:21.000Z,0
"Mehrere Leser beklagen sich, dass sie mein Buch bei Amazon nicht ausgeliefert bekommen (siehe Zuschrift unten).
Sehr merkwürdig…
Was auch immer dahinter steckt – sicher bestellen können Sie es über diesen Link – tinyurl.com/vertreibung1.
Sollte da – wider Erwarten – irgend etwas nicht klappen, kann ich persönlich intervenieren ;-)))

Sehr geehrter Herr Reitschuster,

(Zur Info) ich habe schon seit der Möglichkeit Ihr Buch zu bestellen, dieses bei Amazon vorbestellt. Seither warte ich auf eine Auslieferung, denn normalerweise wäre es sofort verfügbar.
Ich werde es stornieren und nochmal über Amazon Prime bestellen.
Aber es scheint tatsächlich so zu sein, dass Ihr Buch quasi gehemmt wird.
Mit freundlichen Grüßen aus Kelheim /Niederbayern",8,8,Meinungsfreiheit,Sicht auf Deutschland/USA,2023-10-25T11:30:04.000Z,0
"Die Tim Kellner Show bei AUF1 - Episode 5

In dieser exklusiven Ausgabe für AUF1 führt der „Love Priest“ Tim Kellner den ganzen tagespolitischen Irrsinn in gewohnter Art und Weise satirisch vor. In Episode 5 thematisiert Tim Kellner unter anderem seine Verurteilung im Fall Baerbock, die Stellungnahme von Elon Musk zum Flüchtlingsthema, die Verleihung des Medizin-Nobelpreis für mRNA-Forschung und noch vieles mehr…

🤡 Warnhinweis: Diese Sendung kann politisch unkorrekten Humor und satirische Verdrehungen beinhalten!

Hier die ganze Sendung „Tim Kellner Show“ ansehen: ▶️ https://auf1.tv/love-priest-tim-kellner/die-tim-kellner-show-bei-auf1-episode-5",7,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-09T17:01:03.000Z,0
"Die Tim Kellner Show bei AUF1 - Episode 5

In dieser exklusiven Ausgabe für AUF1 führt der „Love Priest“ Tim Kellner den ganzen tagespolitischen Irrsinn in gewohnter Art und Weise satirisch vor. In Episode 5 thematisiert Tim Kellner unter anderem seine Verurteilung im Fall Baerbock, die Stellungnahme von Elon Musk zum Flüchtlingsthema, die Verleihung des Medizin-Nobelpreis für mRNA-Forschung und noch vieles mehr…

🤡 Warnhinweis: Diese Sendung kann politisch unkorrekten Humor und satirische Verdrehungen beinhalten!

Hier die ganze Sendung „Tim Kellner Show“ ansehen: ▶️ https://auf1.tv/love-priest-tim-kellner/die-tim-kellner-show-bei-auf1-episode-5",7,4,Flüchtlingssituation,Allgemeine Bedenken,2023-10-10T09:31:01.000Z,0
"""CSU-Chef Söder stellt den FW ein Ultimatum, sich zur Demokratie zu bekennen. Deren Chef Aiwanger reagiert empört und erinnert an Söders Corona-Politik. Will der nun doch mit den Grünen regieren?""

https://jungefreiheit.de/politik/deutschland/2023/soeder-koalitionsbruch/",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-12T09:48:39.000Z,0
"“Anders Bárány von der „Königlichen Wissenschaftsakademie"" befürchtet einen Trend, der zunehmend das Image des Nobelpreises schädigen könnte:

„Die meisten sehen vermutlich den Nobelpreis als selbständig und unbeeinflusst von äußerem Druck an. Aber dann lebt man in einer Welt, die es vor zehn Jahren gab, bevor diese Entwicklung mit Sponsoren begann.""

https://taz.de/Korruptionsverdacht-bei-Medizin-Auszeichnung/!5171340/

t.me/Rosenbusch",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-04T04:58:26.000Z,0
"Kopfgeburt aus Brüssel: Bahn frei für den „Klimazoll“.
„Purer Protektionismus, ausgeschmückt mit einem grünen Mäntelchen“.
Die EU will Europas Industrie klimafreundlicher gestalten. Diesen Sonntag begann die Testphase. Doch schon jetzt zeichnet sich ab: Es ist nur ein weiteres Beispiel für die unausgereifte Industriepolitik der Brüsseler Aktenhengste. Von Daniel Weinmann. https://reitschuster.de/post/kopfgeburt-aus-bruessel-bahn-frei-fuer-den-klimazoll/",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-04T08:09:14.000Z,0
"⚠️ Ex-Ostbeauftragter Wanderwitz:

CDU-Abgeordneter will AfD-Verbot beantragen ⚠️

Der CDU-Bundestagsabgeordnete Marco Wanderwitz arbeitet an einem Antrag, um die AfD verbieten zu lassen. 

»Wir haben es mit einer Partei zu tun, die ernsthaft unsere freiheitliche demokratische Grundordnung und den Staat als Ganzes gefährdet«, sagt Wanderwitz im Interview mit dem ARD-Magazin Panorama: »Darum ist es höchste Zeit, sie zu verbieten.«

➡️ Link zum Artikel",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-05T07:26:48.000Z,0
"Professor wurde von der MSU freigesprochen; sein wegweisendes Papier, das zeigt, dass über 250.000 Menschen durch den COVID-Impfstoff getötet wurden, ist nun wieder in der Fachliteratur zu finden
 #Gesundheit #Heilmethoden #AlternativeMedizin #Ernährung

Von Steve Kirsch MSU-Professor Mark Skidmore wurde von der MSU entlastet; seine bahnbrechende Arbeit, die zeigt, dass mehr als 250.000 Menschen durch den COVID-Impfstoff getötet wurden, ist nun wieder in der von Experten begutachteten Literatur zu finden Nach einer siebenmonatigen Überprüfung durch seine Universität wurde Mark Skidmore von allen Vo.. ➡➡➡",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-26T07:55:06.000Z,0
"Schon lange wurde die massive politische Einfärbung des ORF kritisiert. Nun verlangt auch der Verfassungsgerichtshof eine Änderung bei den Bestell-Modalitäten der Publikums- und Stiftungsräte. Die Umsetzung der Änderungen soll bis 2025 geschehen – die Grünen drängen auf eine noch frühere Gesetzesänderung. Der Zeitpunkt der Reformpläne wirkt auf Medien-Beobachter jedoch nicht zufällig gewählt. Glaubt man den Umfragen, wird die FPÖ den nächsten österreichischen Bundeskanzler stellen. FPÖ-Chef Herbert Kickl gilt als extrem ORF-kritisch und verkündete bereits Pläne, den ORF massiv zu einem „Grundfunk“ verschlanken zu wollen. Soll durch die Reform eine künftige Kurskorrektur der linkslastigen Öffentlich-Rechtlichen verhindert werden?

🤝 Um das Monopol der Öffentlich-Rechtlichen zu brechen, braucht es eine Medienrevolution! Die kann uns nur gemeinsam gelingen, darum brauchen wir Ihre Unterstützung: 
https://auf1.tv/unterstuetzen",7,7,Politisches und soziales Klima,Sicht auf Deutschland/USA,2023-10-11T09:11:01.000Z,0
"Nach ""palästinensischen"" Angaben wurde gestern Nacht ein Krankenhaus in Gaza von einer israelischen Rakete getroffen. Angeblich sollen hunderte Menschen dabei ihr Leben verloren haben. Andere Quellen lassen auf eine Inszenierung schließen. Auf neuen Luftüberwachungs-Bildern zeigt sich das Krankenhaus völlig unbeschädigt. Wir fassen alle Informationen und Theorien zu dem Vorfall zusammen.  

Artikel hier lesen: https://report24.news/grosse-zweifel-nach-angeblichem-beschuss-von-krankenhaus-in-gaza/?feed_id=34350

➡️ Immer informiert bleiben? Abonnieren Sie @report24news!
➡️ Wir brauchen JETZT Ihre Unterstüzung: report24.news/unterstuetzen
➡️ Auch wenn Sie unsere Inhalte teilen und verbreiten, helfen Sie mit.",23,23,Misstrauen gegenüber Staats- und Mediennarrativen,Verschwörungstheorien und gesellschaftspolitische Erzählungen,2023-10-18T08:30:50.000Z,1
"Mal sehen, wie sich die Anzahl der Transgender nach dieser Nachricht entwickelt:

""Transfrauen, die Hormone einnehmen, haben ein bis zu 95 Prozent höheres Risiko, an Herzkrankheiten zu leiden

Studie ergab, dass alle Transgender-Personen, die geschlechtsangleichende Hormone einnehmen, ein 'deutlich erhöhtes Risiko' für tödliche Krankheiten haben.""

Das ist das Gute:
Früher oder später kommt IMMER die Wahrheit raus...

Und dann lösen sich manche kaputte Tendenzen quasi von alleine auf...
🔥😎🙏

NEW - Study found all transgender people taking ""gender-affirming"" hormones are at ""significantly increased risk"" from deadly conditions like heart attacks, strokes, high blood pressure, and high blood fat and cholesterol levels.

https://www.disclose.tv/id/v9y6n65a41/

@disclosetv

➡️☯️ @AbgefahrenesLeben 🌟",5,5,Gesundheit und Gesundheitssystem,Allgemeine Bedenken,2023-10-06T13:02:01.000Z,0
